Date,GDP growth rate,Inflation rate
1/1/2019,5.9,4.4
2/1/2019,5.9,3.8
3/1/2019,5.9,3.3
4/1/2019,5.6,3.0
5/1/2019,5.6,3.2
6/1/2019,5.6,2.7
7/1/2019,6.3,2.4
8/1/2019,6.3,1.7
9/1/2019,6.3,0.9
10/1/2019,6.6,0.8
11/1/2019,6.6,1.3
12/1/2019,6.6,2.5
1/1/2020,-0.7,2.9
2/1/2020,-0.7,2.6
3/1/2020,-0.7,2.2
4/1/2020,-16.9,1.8
5/1/2020,-16.9,1.6
6/1/2020,-16.9,2.3
7/1/2020,-11.6,2.4
8/1/2020,-11.6,2.2
9/1/2020,-11.6,2.2
10/1/2020,-8.2,2.3
11/1/2020,-8.2,3.0
12/1/2020,-8.2,3.3
1/1/2021,-3.8,3.7
2/1/2021,-3.8,4.2
3/1/2021,-3.8,4.1
4/1/2021,12.0,4.1
5/1/2021,12.0,4.1
6/1/2021,12.0,3.7
7/1/2021,7.0,3.7
8/1/2021,7.0,4.4
9/1/2021,7.0,4.2
10/1/2021,7.9,4.0
11/1/2021,7.9,3.7
12/1/2021,7.9,3.1
1/1/2022,8.1,3.0
2/1/2022,8.1,3.0
3/1/2022,8.1,4.0
4/1/2022,7.5,4.9
5/1/2022,7.5,5.4
6/1/2022,7.5,6.1
7/1/2022,7.7,6.4
8/1/2022,7.7,6.3
9/1/2022,7.7,6.9
10/1/2022,7.1,7.7
11/1/2022,7.1,8.0
12/1/2022,7.1,8.1
1/1/2023,6.4,8.7
2/1/2023,6.4,8.6
3/1/2023,6.4,7.6
4/1/2023,4.3,6.6
5/1/2023,4.3,6.1
6/1/2023,4.3,5.4
7/1/2023,6.0,4.7
8/1/2023,6.0,5.3
9/1/2023,6.0,6.1
10/1/2023,5.5,4.9
11/1/2023,5.5,4.1
12/1/2023,5.5,3.9
1/1/2024,5.9,2.8
2/1/2024,5.9,3.4
3/1/2024,5.9,3.7
4/1/2024,6.5,3.8
5/1/2024,6.5,3.9
6/1/2024,6.5,3.7
7/1/2024,5.2,4.4
8/1/2024,5.2,3.3
9/1/2024,5.2,1.9
10/1/2024,5.3,3.3
11/1/2024,5.3,2.5
12/1/2024,5.3,2.9
1/1/2025,5.4,2.9
2/1/2025,5.4,2.1
3/1/2025,5.4,1.8
4/1/2025,5.5,1.4
5/1/2025,5.5,1.3
6/1/2025,5.5,1.4
